persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,4,0,4,2026-07-15T09:12:33.057980
0,1,2,4,0,4,2026-07-15T09:12:33.044468
0,1,3,4,0,4,2026-07-15T09:12:33.090912
0,1,4,4,0,4,2026-07-15T09:12:33.211459
0,1,5,4,0,4,2026-07-15T09:12:33.060621
0,1,6,4,0,4,2026-07-15T09:12:33.049220
0,1,7,4,0,4,2026-07-15T09:12:33.091213
0,1,8,4,0,4,2026-07-15T09:12:33.672207
0,1,9,4,0,4,2026-07-15T09:12:33.214069
0,1,10,4,0,4,2026-07-15T09:12:33.110652
0,2,1,5,0,5,2026-07-15T09:12:33.228260
0,2,2,5,0,5,2026-07-15T09:12:33.144746
0,2,3,5,0,5,2026-07-15T09:12:33.224168
0,2,4,5,0,5,2026-07-15T09:12:33.140353
0,2,5,5,0,5,2026-07-15T09:12:33.349451
0,2,6,5,0,5,2026-07-15T09:12:33.175404
0,2,7,5,0,5,2026-07-15T09:12:34.865705
0,2,8,5,0,5,2026-07-15T09:12:34.808572
0,2,9,5,0,5,2026-07-15T09:12:34.847129
0,2,10,5,0,5,2026-07-15T09:12:34.797547
0,3,1,2,0,2,2026-07-15T09:12:33.794287
0,3,2,2,0,2,2026-07-15T09:12:33.887794
0,3,3,2,0,2,2026-07-15T09:12:33.734525
0,3,4,2,0,2,2026-07-15T09:12:33.784333
0,3,5,2,0,2,2026-07-15T09:12:33.831068
0,3,6,2,0,2,2026-07-15T09:12:33.839550
0,3,7,2,0,2,2026-07-15T09:12:33.904465
0,3,8,2,0,2,2026-07-15T09:12:33.924975
0,3,9,2,0,2,2026-07-15T09:12:33.976535
0,3,10,2,0,2,2026-07-15T09:12:33.962113
0,4,1,3,0,3,2026-07-15T09:12:33.999601
0,4,2,3,0,3,2026-07-15T09:12:34.395373
0,4,3,3,0,3,2026-07-15T09:12:34.395715
0,4,4,3,0,3,2026-07-15T09:12:34.524581
0,4,5,3,0,3,2026-07-15T09:12:34.428547
0,4,6,3,0,3,2026-07-15T09:12:34.557068
0,4,7,3,0,3,2026-07-15T09:12:34.524200
0,4,8,3,0,3,2026-07-15T09:12:34.574361
0,4,9,3,0,3,2026-07-15T09:12:34.608267
0,4,10,3,0,3,2026-07-15T09:12:34.643540
0,5,1,2,0,2,2026-07-15T09:12:35.475868
0,5,2,2,0,2,2026-07-15T09:12:34.557542
0,5,3,2,0,2,2026-07-15T09:12:34.818037
0,5,4,2,0,2,2026-07-15T09:12:34.896048
0,5,5,2,0,2,2026-07-15T09:12:34.979313
0,5,6,2,0,2,2026-07-15T09:12:35.009955
0,5,7,2,0,2,2026-07-15T09:12:35.059359
0,5,8,2,0,2,2026-07-15T09:12:35.081774
0,5,9,2,0,2,2026-07-15T09:12:35.107695
0,5,10,2,0,2,2026-07-15T09:12:35.247875
0,6,1,5,0,5,2026-07-15T09:12:35.059007
0,6,2,5,0,5,2026-07-15T09:12:35.160591
0,6,3,5,0,5,2026-07-15T09:12:35.244879
0,6,4,5,0,5,2026-07-15T09:12:35.325751
0,6,5,5,0,5,2026-07-15T09:12:35.489345
0,6,6,5,0,5,2026-07-15T09:12:35.374003
0,6,7,5,0,5,2026-07-15T09:12:35.381140
0,6,8,5,0,5,2026-07-15T09:12:35.411987
0,6,9,5,0,5,2026-07-15T09:12:35.411456
0,6,10,5,0,5,2026-07-15T09:12:35.758597
0,7,1,5,0,5,2026-07-15T09:12:35.722513
0,7,2,5,0,5,2026-07-15T09:12:35.806821
0,7,3,5,0,5,2026-07-15T09:12:35.774034
0,7,4,5,0,5,2026-07-15T09:12:35.810403
0,7,5,5,0,5,2026-07-15T09:12:35.822264
0,7,6,5,0,5,2026-07-15T09:12:35.824497
0,7,7,5,0,5,2026-07-15T09:12:35.906536
0,7,8,5,0,5,2026-07-15T09:12:35.938557
0,7,9,5,0,5,2026-07-15T09:12:36.057254
0,7,10,5,0,5,2026-07-15T09:12:36.039535
0,8,1,3,0,3,2026-07-15T09:12:36.014658
0,8,2,3,0,3,2026-07-15T09:12:36.171799
0,8,3,3,0,3,2026-07-15T09:12:36.226318
0,8,4,3,0,3,2026-07-15T09:12:36.226620
0,8,5,3,0,3,2026-07-15T09:12:36.181717
0,8,6,3,0,3,2026-07-15T09:12:36.398098
0,8,7,3,0,3,2026-07-15T09:12:36.429664
0,8,8,3,0,3,2026-07-15T09:12:36.572362
0,8,9,3,0,3,2026-07-15T09:12:36.441695
0,8,10,3,0,3,2026-07-15T09:12:36.497994
0,9,1,2,0,2,2026-07-15T09:12:36.607222
0,9,2,2,0,2,2026-07-15T09:12:36.523934
0,9,3,2,0,2,2026-07-15T09:12:36.524279
0,9,4,2,0,2,2026-07-15T09:12:36.830429
0,9,5,2,0,2,2026-07-15T09:12:36.839948
0,9,6,2,0,2,2026-07-15T09:12:36.769131
