persona_id,question_id,run_index,rating,response,collected_at
0,1,1,4,4,2025-10-21T20:20:36.565818
0,1,2,4,4,2025-10-21T20:20:38.744344
0,1,3,4,4,2025-10-21T20:20:40.852371
0,1,4,3,3,2025-10-21T20:20:43.767298
0,1,5,4,4,2025-10-21T20:20:46.239506
0,1,6,3,3,2025-10-21T20:20:48.125270
0,1,7,4,4,2025-10-21T20:20:50.006716
0,1,8,4,4,2025-10-21T20:20:51.719083
0,1,9,4,4,2025-10-21T20:20:53.387753
0,1,10,3,3,2025-10-21T20:20:55.193297
0,2,1,5,5,2025-10-21T20:20:56.464446
0,2,2,5,5,2025-10-21T20:20:58.098190
0,2,3,5,5,2025-10-21T20:20:59.437372
0,2,4,5,5,2025-10-21T20:21:01.989108
0,2,5,5,5,2025-10-21T20:21:03.679744
0,2,6,5,5,2025-10-21T20:21:04.964932
0,2,7,5,5,2025-10-21T20:21:06.143587
0,2,8,5,5,2025-10-21T20:21:07.308996
0,2,9,5,5,2025-10-21T20:21:08.543631
0,2,10,5,5,2025-10-21T20:21:09.976511
0,3,1,2,2,2025-10-21T20:21:12.229320
0,3,2,2,2,2025-10-21T20:21:14.789688
0,3,3,1,1,2025-10-21T20:21:16.703141
0,3,4,1,1,2025-10-21T20:21:19.946773
0,3,5,2,2,2025-10-21T20:21:21.481766
0,3,6,2,2,2025-10-21T20:21:23.149432
0,3,7,2,2,2025-10-21T20:21:25.439487
0,3,8,2,2,2025-10-21T20:21:27.066820
0,3,9,2,2,2025-10-21T20:21:28.844418
0,3,10,1,1,2025-10-21T20:21:30.697360
0,4,1,2,2,2025-10-21T20:21:32.111905
0,4,2,1,1,2025-10-21T20:21:33.531502
0,4,3,2,2,2025-10-21T20:21:35.079561
0,4,4,2,2,2025-10-21T20:21:36.294470
0,4,5,1,1,2025-10-21T20:21:37.811209
0,4,6,2,2,2025-10-21T20:21:39.673551
0,4,7,1,1,2025-10-21T20:21:41.601076
0,4,8,2,2,2025-10-21T20:21:43.032334
0,4,9,1,1,2025-10-21T20:21:45.025277
0,4,10,2,2,2025-10-21T20:21:46.738642
0,5,1,2,2,2025-10-21T20:21:48.742776
0,5,2,1,1,2025-10-21T20:21:50.486134
0,5,3,2,2,2025-10-21T20:21:52.439330
0,5,4,1,1,2025-10-21T20:21:54.344086
0,5,5,1,1,2025-10-21T20:21:56.063282
0,5,6,1,1,2025-10-21T20:21:57.957604
0,5,7,2,2,2025-10-21T20:21:59.821772
0,5,8,2,2,2025-10-21T20:22:01.753437
0,5,9,2,2,2025-10-21T20:22:03.753925
0,5,10,2,2,2025-10-21T20:22:05.367195
0,6,1,3,3,2025-10-21T20:22:07.003925
0,6,2,4,4,2025-10-21T20:22:09.085591
0,6,3,3,3,2025-10-21T20:22:11.274358
0,6,4,4,4,2025-10-21T20:22:12.454153
0,6,5,4,4,2025-10-21T20:22:13.995759
0,6,6,4,4,2025-10-21T20:22:15.717785
0,6,7,4,4,2025-10-21T20:22:17.651329
0,6,8,4,4,2025-10-21T20:22:19.579386
0,6,9,4,4,2025-10-21T20:22:21.151217
0,6,10,4,4,2025-10-21T20:22:23.061215
0,7,1,5,5,2025-10-21T20:22:24.524503
0,7,2,5,5,2025-10-21T20:22:26.500939
0,7,3,5,5,2025-10-21T20:22:28.007977
0,7,4,5,5,2025-10-21T20:22:29.543277
0,7,5,5,5,2025-10-21T20:22:31.591508
0,7,6,5,5,2025-10-21T20:22:33.331774
0,7,7,5,5,2025-10-21T20:22:34.828989
0,7,8,5,5,2025-10-21T20:22:36.517133
0,7,9,5,5,2025-10-21T20:22:38.148983
0,7,10,5,5,2025-10-21T20:22:40.340448
0,8,1,4,4,2025-10-21T20:22:42.005152
0,8,2,4,4,2025-10-21T20:22:43.777998
0,8,3,3,3,2025-10-21T20:22:45.722510
0,8,4,4,4,2025-10-21T20:22:47.509161
0,8,5,3,3,2025-10-21T20:22:50.117701
0,8,6,5,5,2025-10-21T20:22:52.367518
0,8,7,4,4,2025-10-21T20:22:54.832714
0,8,8,4,4,2025-10-21T20:22:56.602299
0,8,9,4,4,2025-10-21T20:22:58.524439
0,8,10,4,4,2025-10-21T20:23:00.910084
0,9,1,1,1,2025-10-21T20:23:02.437590
0,9,2,2,2,2025-10-21T20:23:03.980379
0,9,3,1,1,2025-10-21T20:23:05.486116
0,9,4,2,2,2025-10-21T20:23:06.857288
0,9,5,2,2,2025-10-21T20:23:08.762776
0,9,6,1,1,2025-10-21T20:23:10.502765
0,9,7,2,2,2025-10-21T20:23:12.246912
0,9,8,2,2,2025-10-21T20:23:14.702203
0,9,9,1,1,2025-10-21T20:23:15.947182
0,9,10,1,1,2025-10-21T20:23:17.577980
0,10,1,1,1,2025-10-21T20:23:19.195835
0,10,2,2,2,2025-10-21T20:23:21.175175
0,10,3,1,1,2025-10-21T20:23:22.985008
0,10,4,1,1,2025-10-21T20:23:24.635131
0,10,5,1,1,2025-10-21T20:23:26.875269
0,10,6,1,1,2025-10-21T20:23:28.869352
0,10,7,1,1,2025-10-21T20:23:30.576720
0,10,8,2,2,2025-10-21T20:23:32.109718
0,10,9,1,1,2025-10-21T20:23:34.447836
0,10,10,1,1,2025-10-21T20:23:36.026148
0,11,1,4,4,2025-10-21T20:23:37.798646
0,11,2,3,3,2025-10-21T20:23:39.690971
0,11,3,3,3,2025-10-21T20:23:42.977350
0,11,4,4,4,2025-10-21T20:23:44.703973
0,11,5,4,4,2025-10-21T20:23:46.856260
0,11,6,3,3,2025-10-21T20:23:48.658339
0,11,7,3,3,2025-10-21T20:23:50.638417
0,11,8,4,4,2025-10-21T20:23:52.308536
0,11,9,3,3,2025-10-21T20:23:54.381880
0,11,10,3,3,2025-10-21T20:23:56.072743
0,12,1,5,5,2025-10-21T20:23:57.895023
0,12,2,5,5,2025-10-21T20:23:59.962767
0,12,3,5,5,2025-10-21T20:24:01.806956
0,12,4,5,5,2025-10-21T20:24:02.913947
0,12,5,5,5,2025-10-21T20:24:04.085616
0,12,6,5,5,2025-10-21T20:24:05.309843
0,12,7,5,5,2025-10-21T20:24:06.722712
0,12,8,5,5,2025-10-21T20:24:08.156725
0,12,9,5,5,2025-10-21T20:24:09.595103
0,12,10,5,5,2025-10-21T20:24:11.124879
0,13,1,3,3,2025-10-21T20:24:13.275431
0,13,2,3,3,2025-10-21T20:24:15.220569
0,13,3,3,3,2025-10-21T20:24:17.168150
0,13,4,3,3,2025-10-21T20:24:19.468304
0,13,5,3,3,2025-10-21T20:24:21.673485
0,13,6,3,3,2025-10-21T20:24:23.721413
0,13,7,4,4,2025-10-21T20:24:25.848139
0,13,8,4,4,2025-10-21T20:24:28.124677
0,13,9,4,4,2025-10-21T20:24:30.480546
0,13,10,3,3,2025-10-21T20:24:32.510110
0,14,1,4,4,2025-10-21T20:24:33.914411
0,14,2,4,4,2025-10-21T20:24:35.909093
0,14,3,4,4,2025-10-21T20:24:37.534756
0,14,4,5,5,2025-10-21T20:24:38.880455
0,14,5,4,4,2025-10-21T20:24:40.515524
0,14,6,5,5,2025-10-21T20:24:41.949148
0,14,7,4,4,2025-10-21T20:24:43.085052
0,14,8,4,4,2025-10-21T20:24:44.610686
0,14,9,4,4,2025-10-21T20:24:46.558301
0,14,10,5,5,2025-10-21T20:24:47.890443
0,15,1,0,0,2025-10-21T20:24:49.150181
0,15,2,0,0,2025-10-21T20:24:50.097663
0,15,3,0,0,2025-10-21T20:24:51.575313
0,15,4,0,0,2025-10-21T20:24:52.908508
0,15,5,0,0,2025-10-21T20:24:54.748649
0,15,6,0,0,2025-10-21T20:24:56.044280
0,15,7,0,0,2025-10-21T20:24:57.756737
0,15,8,0,0,2025-10-21T20:24:59.124069
0,15,9,0,0,2025-10-21T20:25:00.274437
0,15,10,0,0,2025-10-21T20:25:01.931429
0,16,1,4,4,2025-10-21T20:25:03.658596
0,16,2,4,4,2025-10-21T20:25:05.399527
